Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,110.24,110.57,110.03,110.33,1328198,0
2019-04-01,17:00:00,110.35,110.66,110.31,110.62,1314634,0
2019-04-01,18:00:00,110.64,110.76,110.6,110.71,1056201,0
2019-04-01,19:00:00,110.71,110.95,110.65,110.9,831197,0
2019-04-01,20:00:00,110.9,111.3,110.89,111.26,1045543,0
2019-04-01,21:00:00,111.25,111.5,111.14,111.14,1147518,0
2019-04-02,22:00:00,111.14,111.27,110.9,111.15,2256578,0
2019-04-02,16:00:00,111.78,111.94,111.01,111.22,1277634,0
2019-04-02,17:00:00,111.24,111.28,110.76,110.94,1113957,0
2019-04-02,18:00:00,110.94,111.14,110.57,111.06,868350,0
2019-04-02,19:00:00,111.06,111.14,110.82,111.12,707103,0
2019-04-02,20:00:00,111.12,111.24,110.98,111,558141,0
2019-04-02,21:00:00,111,111.1,110.82,110.93,739546,0
2019-04-03,22:00:00,110.94,110.96,110.6,110.61,2263627,0
2019-04-03,16:00:00,111.34,111.39,110.93,110.98,1487806,0
2019-04-03,17:00:00,110.92,111.53,110.86,111.34,1514638,0
2019-04-03,18:00:00,111.35,111.6,111.3,111.52,729647,0
2019-04-03,19:00:00,111.52,111.68,111.35,111.41,849676,0
2019-04-03,20:00:00,111.42,111.74,111.21,111.29,859541,0
2019-04-03,21:00:00,111.29,111.44,111.15,111.2,683788,0
2019-04-04,22:00:00,111.19,111.27,110.97,111.16,2521467,0
2019-04-04,16:00:00,111.87,113.03,111.66,113.01,2127757,0
2019-04-04,17:00:00,113.01,113.24,112.7,113.08,2854421,0
2019-04-04,18:00:00,113.08,113.09,112.49,112.81,1359396,0
2019-04-04,19:00:00,112.81,113.01,112.63,112.9,822345,0
2019-04-04,20:00:00,112.91,113.06,112.69,112.97,690696,0
2019-04-04,21:00:00,112.97,113.37,112.93,113.19,1087855,0
2019-04-05,22:00:00,113.18,113.47,113.08,113.36,2499383,0
2019-04-05,16:00:00,113.58,113.62,112.92,113.59,1470094,0
2019-04-05,17:00:00,113.59,113.59,113.13,113.21,1447459,0
2019-04-05,18:00:00,113.21,113.21,112.93,113.15,676838,0
2019-04-05,19:00:00,113.14,113.22,112.99,113.17,519638,0
2019-04-05,20:00:00,113.17,113.49,113.07,113.49,831298,0
2019-04-05,21:00:00,113.49,113.7,113.43,113.59,1345411,0
2019-04-08,22:00:00,113.59,113.74,113.39,113.61,3264545,0
2019-04-08,16:00:00,113.61,113.79,113.41,113.75,898522,0
2019-04-08,17:00:00,113.75,113.95,113.54,113.83,1258035,0
2019-04-08,18:00:00,113.83,114.43,113.76,114.27,1483669,0
2019-04-08,19:00:00,114.28,114.3,113.86,113.95,1172865,0
2019-04-08,20:00:00,113.95,113.97,113.55,113.58,694977,0
2019-04-08,21:00:00,113.58,113.66,113.43,113.51,658987,0
2019-04-09,22:00:00,113.52,113.64,113.25,113.57,2341454,0
2019-04-09,16:00:00,114.22,114.94,113.89,114.82,2718079,0
2019-04-09,17:00:00,114.83,115.13,114.69,115.11,2306346,0
2019-04-09,18:00:00,115.1,115.53,115.05,115.09,1874885,0
2019-04-09,19:00:00,115.09,115.75,115.06,115.61,2225475,0
2019-04-09,20:00:00,115.61,115.65,115.36,115.42,1606428,0
2019-04-09,21:00:00,115.42,115.45,115.09,115.25,1167111,0
2019-04-10,22:00:00,115.26,115.49,115.17,115.45,2905018,0
2019-04-10,16:00:00,116.16,116.6,115.81,116.05,2570836,0
2019-04-10,17:00:00,116.04,116.04,115.29,115.43,1570951,0
2019-04-10,18:00:00,115.44,115.54,115.14,115.16,1127592,0
2019-04-10,19:00:00,115.15,115.31,114.87,115.1,952483,0
2019-04-10,20:00:00,115.1,115.48,115.04,115.43,935102,0
2019-04-10,21:00:00,115.43,115.69,115.38,115.65,1211874,0
2019-04-11,22:00:00,115.65,115.76,115.48,115.75,3597569,0
2019-04-11,16:00:00,116.31,116.43,114.91,115.09,1431792,0
2019-04-11,17:00:00,115.09,115.67,115.01,115.36,1323989,0
2019-04-11,18:00:00,115.36,115.99,115.19,115.71,1490974,0
2019-04-11,19:00:00,115.71,115.87,115.39,115.5,1036914,0
2019-04-11,20:00:00,115.51,115.57,115.27,115.34,902281,0
2019-04-11,21:00:00,115.34,115.41,115.11,115.36,822636,0
2019-04-12,22:00:00,115.35,115.51,115.16,115.19,3914450,0
2019-04-12,16:00:00,126.36,129.32,125.95,127.02,16983568,0
2019-04-12,17:00:00,126.99,127.41,124.93,125.4,10406965,0
