Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,136.61,137.31,136.61,136.67,451308,0
2019-04-01,17:00:00,136.69,137.64,136.67,137.63,326980,0
2019-04-01,18:00:00,137.64,137.89,137.43,137.68,308413,0
2019-04-01,19:00:00,137.68,138.01,137.5,138,255162,0
2019-04-01,20:00:00,138.02,138.12,137.8,138.08,226872,0
2019-04-01,21:00:00,138.08,138.38,138.04,138.27,298713,0
2019-04-02,22:00:00,138.25,138.43,138.05,138.34,1179393,0
2019-04-02,16:00:00,138.39,138.96,138.02,138.81,269022,0
2019-04-02,17:00:00,138.82,138.83,138.09,138.13,254593,0
2019-04-02,18:00:00,138.15,138.24,137.66,137.95,293228,0
2019-04-02,19:00:00,137.95,138.16,137.84,138.08,220714,0
2019-04-02,20:00:00,138.08,138.21,137.93,138.11,137615,0
2019-04-02,21:00:00,138.14,138.24,138.03,138.14,135912,0
2019-04-03,22:00:00,138.14,138.26,138.03,138.04,622864,0
2019-04-03,16:00:00,138.67,138.91,138.37,138.67,265008,0
2019-04-03,17:00:00,138.6,138.91,138.36,138.87,256540,0
2019-04-03,18:00:00,138.88,139.23,138.86,139.11,236198,0
2019-04-03,19:00:00,139.11,139.12,138.66,138.7,167716,0
2019-04-03,20:00:00,138.7,138.77,138.12,138.14,266866,0
2019-04-03,21:00:00,138.12,138.49,138.05,138.4,255946,0
2019-04-04,22:00:00,138.4,138.77,138.09,138.65,704790,0
2019-04-04,16:00:00,138.64,139.15,138.64,138.91,294071,0
2019-04-04,17:00:00,138.91,138.97,138.02,138.62,234942,0
2019-04-04,18:00:00,138.62,138.62,137.89,137.97,206215,0
2019-04-04,19:00:00,137.95,138.21,137.76,138.11,233508,0
2019-04-04,20:00:00,138.11,138.23,138,138.04,188539,0
2019-04-04,21:00:00,138.04,138.25,138.03,138.11,213179,0
2019-04-05,22:00:00,138.1,138.18,137.6,137.83,877149,0
2019-04-05,16:00:00,138.33,138.53,137.53,137.97,298365,0
2019-04-05,17:00:00,137.98,138.25,137.61,137.74,296151,0
2019-04-05,18:00:00,137.74,138.13,137.62,138.07,211329,0
2019-04-05,19:00:00,138.07,138.26,137.93,138.1,207290,0
2019-04-05,20:00:00,138.1,138.25,138.02,138.2,181196,0
2019-04-05,21:00:00,138.21,138.22,137.96,138.01,188647,0
2019-04-08,22:00:00,138.01,138.41,137.92,138.32,758744,0
2019-04-08,16:00:00,138.06,138.27,137.92,138.06,167127,0
2019-04-08,17:00:00,138.04,138.31,137.97,138.09,243200,0
2019-04-08,18:00:00,138.09,138.45,137.93,138.23,229202,0
2019-04-08,19:00:00,138.25,138.35,138.03,138.06,125994,0
2019-04-08,20:00:00,138.06,138.22,138.01,138.16,134211,0
2019-04-08,21:00:00,138.18,138.29,137.98,138.05,124714,0
2019-04-09,22:00:00,138.04,138.45,137.95,138.43,643572,0
2019-04-09,16:00:00,137.72,137.99,136.93,137.23,264502,0
2019-04-09,17:00:00,137.23,137.28,136.92,137.2,293481,0
2019-04-09,18:00:00,137.21,137.58,137.17,137.57,245289,0
2019-04-09,19:00:00,137.56,137.68,137.44,137.51,215872,0
2019-04-09,20:00:00,137.5,137.7,137.48,137.58,146624,0
2019-04-09,21:00:00,137.58,137.59,137.14,137.18,273088,0
2019-04-10,22:00:00,137.19,137.33,136.99,137.18,1025159,0
2019-04-10,16:00:00,137.27,137.99,137.06,137.67,161653,0
2019-04-10,17:00:00,137.66,138.11,137.43,138.1,284794,0
2019-04-10,18:00:00,138.11,138.52,137.95,138.4,216050,0
2019-04-10,19:00:00,138.4,138.41,137.98,138.02,213361,0
2019-04-10,20:00:00,138.03,138.08,137.84,137.94,168502,0
2019-04-10,21:00:00,137.98,138,137.66,137.92,158912,0
2019-04-11,22:00:00,137.93,138.17,137.9,138.06,736454,0
2019-04-11,16:00:00,138.82,139.12,138.34,138.6,398799,0
2019-04-11,17:00:00,138.61,138.81,138.11,138.65,312547,0
2019-04-11,18:00:00,138.66,138.96,138.13,138.27,349709,0
2019-04-11,19:00:00,138.26,138.54,138.12,138.49,169968,0
2019-04-11,20:00:00,138.49,138.69,138.43,138.43,162776,0
2019-04-11,21:00:00,138.44,138.53,138.35,138.5,174577,0
2019-04-12,22:00:00,138.49,138.86,138.43,138.8,813498,0
2019-04-12,16:00:00,139.27,139.35,138.96,139.27,252261,0
2019-04-12,17:00:00,139.27,139.27,138.82,139.01,372293,0
2019-04-12,18:00:00,139.01,139.29,138.72,139.26,270443,0
2019-04-12,19:00:00,139.25,139.4,139.08,139.38,188407,0
2019-04-12,20:00:00,139.38,139.4,139.3,139.37,168781,0
2019-04-12,21:00:00,139.36,139.42,139.3,139.38,226566,0
2019-04-15,22:00:00,139.38,139.43,139.23,139.35,686136,0
2019-04-15,16:00:00,139.39,139.45,138.74,138.88,380875,0
2019-04-15,17:00:00,138.86,139.12,138.56,138.77,366546,0
2019-04-15,18:00:00,138.78,138.9,138.58,138.6,353380,0
2019-04-15,19:00:00,138.59,138.62,138.31,138.41,275063,0
2019-04-15,20:00:00,138.4,138.78,138.4,138.73,159333,0
2019-04-15,21:00:00,138.72,138.84,138.63,138.82,191303,0
2019-04-16,22:00:00,138.83,139.06,138.81,138.91,1133349,0
2019-04-16,16:00:00,139.39,139.67,139.03,139.28,543363,0
2019-04-16,17:00:00,139.28,139.57,139.18,139.48,515647,0
