Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,53.338,53.485,53.102,53.161,1692229,0
2019-04-01,17:00:00,53.171,53.435,53.142,53.206,1802959,0
2019-04-01,18:00:00,53.21,53.535,53.181,53.24,2155012,0
2019-04-01,19:00:00,53.245,53.368,53.141,53.368,1356279,0
2019-04-01,20:00:00,53.368,53.416,53.25,53.348,1093306,0
2019-04-01,21:00:00,53.338,53.425,53.308,53.397,1033720,0
2019-04-02,22:00:00,53.387,53.564,53.318,53.505,5546482,0
2019-04-02,16:00:00,53.555,53.789,53.235,53.269,1659695,0
2019-04-02,17:00:00,53.269,53.5,53.24,53.368,1614362,0
2019-04-02,18:00:00,53.363,53.47,53.225,53.374,1477090,0
2019-04-02,19:00:00,53.368,53.475,53.333,53.378,795851,0
2019-04-02,20:00:00,53.378,53.495,53.328,53.328,936173,0
2019-04-02,21:00:00,53.333,53.416,53.288,53.416,969824,0
2019-04-03,22:00:00,53.416,53.542,53.338,53.348,2656687,0
2019-04-03,16:00:00,54.015,54.516,53.878,54.418,4274363,0
2019-04-03,17:00:00,54.418,54.702,54.231,54.678,3470706,0
2019-04-03,18:00:00,54.683,54.958,54.624,54.883,3050076,0
2019-04-03,19:00:00,54.878,54.943,54.604,54.624,2266926,0
2019-04-03,20:00:00,54.624,54.786,54.506,54.511,1732144,0
2019-04-03,21:00:00,54.506,54.599,54.418,54.428,1821261,0
2019-04-04,22:00:00,54.428,54.457,54.172,54.447,3565510,0
2019-04-04,16:00:00,54.251,55.105,54.251,54.869,2222794,0
2019-04-04,17:00:00,54.864,54.948,54.545,54.844,2277146,0
2019-04-04,18:00:00,54.849,54.859,54.624,54.754,1555969,0
2019-04-04,19:00:00,54.751,54.809,54.56,54.726,1476733,0
2019-04-04,20:00:00,54.726,54.771,54.663,54.722,1137690,0
2019-04-04,21:00:00,54.726,54.918,54.702,54.918,1273048,0
2019-04-05,22:00:00,54.91,54.928,54.722,54.888,4744335,0
2019-04-05,16:00:00,54.722,54.918,53.888,54.045,3650797,0
2019-04-05,17:00:00,54.04,54.221,53.858,54.118,3775288,0
2019-04-05,18:00:00,54.123,54.349,54.094,54.261,1735872,0
2019-04-05,19:00:00,54.269,54.418,54.251,54.329,1160201,0
2019-04-05,20:00:00,54.325,54.496,54.325,54.486,1027808,0
2019-04-05,21:00:00,54.491,54.521,54.378,54.408,1039584,0
2019-04-08,22:00:00,54.408,54.712,54.388,54.584,2855332,0
2019-04-08,16:00:00,54.261,54.486,54.182,54.319,1707885,0
2019-04-08,17:00:00,54.324,54.388,54.246,54.377,1649802,0
2019-04-08,18:00:00,54.378,54.486,54.299,54.418,1344641,0
2019-04-08,19:00:00,54.418,54.535,54.349,54.526,923643,0
2019-04-08,20:00:00,54.526,54.55,54.428,54.476,741576,0
2019-04-08,21:00:00,54.471,54.58,54.408,54.575,973128,0
2019-04-09,22:00:00,54.575,54.712,54.555,54.653,2994951,0
2019-04-09,16:00:00,54.329,54.408,53.996,54.02,1658252,0
2019-04-09,17:00:00,54.025,54.123,53.888,54.064,2309005,0
2019-04-09,18:00:00,54.064,54.211,54.005,54.182,1405794,0
2019-04-09,19:00:00,54.192,54.359,54.152,54.302,924616,0
2019-04-09,20:00:00,54.299,54.304,54.143,54.187,847073,0
2019-04-09,21:00:00,54.192,54.28,54.143,54.167,1108507,0
2019-04-10,22:00:00,54.167,54.344,54.152,54.299,3541160,0
2019-04-10,16:00:00,54.299,54.614,54.299,54.579,1067833,0
2019-04-10,17:00:00,54.575,54.781,54.506,54.722,1487438,0
2019-04-10,18:00:00,54.726,54.83,54.663,54.712,1615361,0
2019-04-10,19:00:00,54.722,54.791,54.638,54.663,1662503,0
2019-04-10,20:00:00,54.668,54.683,54.545,54.594,1103619,0
2019-04-10,21:00:00,54.604,54.634,54.428,54.572,1039743,0
2019-04-11,22:00:00,54.575,54.811,54.567,54.722,3306425,0
2019-04-11,16:00:00,54.731,54.968,54.634,54.673,1098012,0
2019-04-11,17:00:00,54.673,54.928,54.604,54.898,1146305,0
2019-04-11,18:00:00,54.898,55.035,54.663,54.717,1723354,0
2019-04-11,19:00:00,54.717,54.849,54.668,54.83,767177,0
2019-04-11,20:00:00,54.835,54.878,54.722,54.751,834073,0
2019-04-11,21:00:00,54.751,54.796,54.643,54.712,802726,0
2019-04-12,22:00:00,54.722,54.82,54.687,54.761,2181985,0
2019-04-12,16:00:00,55.173,55.232,54.978,55.002,1420205,0
2019-04-12,17:00:00,54.997,55.045,54.835,54.918,1661850,0
2019-04-12,18:00:00,54.918,54.993,54.811,54.981,874384,0
2019-04-12,19:00:00,54.978,55.155,54.973,55.11,994939,0
2019-04-12,20:00:00,55.108,55.262,55.108,55.212,1184139,0
2019-04-12,21:00:00,55.212,55.384,55.173,55.32,992098,0
2019-04-15,22:00:00,55.32,55.449,55.302,55.369,2436306,0
2019-04-15,16:00:00,55.419,55.512,55.207,55.232,1223600,0
2019-04-15,17:00:00,55.227,55.302,54.888,55.006,1407014,0
2019-04-15,18:00:00,55.011,55.095,54.943,55.006,1041473,0
2019-04-15,19:00:00,55.006,55.07,54.888,55.035,919292,0
2019-04-15,20:00:00,55.03,55.222,55.025,55.179,720429,0
2019-04-15,21:00:00,55.177,55.267,55.163,55.21,1026376,0
2019-04-16,22:00:00,55.212,55.323,55.192,55.242,3395014,0
2019-04-16,16:00:00,55.615,55.762,55.468,55.663,1438990,0
