Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,117.72,117.75,117.14,117.34,2562080,0
2019-04-01,17:00:00,117.34,117.58,116.87,117.22,2089914,0
2019-04-01,18:00:00,117.23,117.66,117.2,117.44,1722159,0
2019-04-01,19:00:00,117.44,117.71,117.27,117.69,1295924,0
2019-04-01,20:00:00,117.69,117.82,117.58,117.72,1242436,0
2019-04-01,21:00:00,117.72,117.85,117.6,117.76,1513862,0
2019-04-02,22:00:00,117.76,117.88,117.59,117.79,5733162,0
2019-04-02,16:00:00,117.83,118.05,117.33,117.4,2144044,0
2019-04-02,17:00:00,117.4,117.8,117.29,117.76,2024828,0
2019-04-02,18:00:00,117.76,117.89,117.47,117.85,1375007,0
2019-04-02,19:00:00,117.86,118.07,117.74,117.97,1412385,0
2019-04-02,20:00:00,117.96,118.03,117.87,117.94,901988,0
2019-04-02,21:00:00,117.94,118.09,117.82,118.04,1182204,0
2019-04-03,22:00:00,118.04,118.24,117.95,117.96,4018238,0
2019-04-03,16:00:00,118.62,118.76,118,118.25,2821947,0
2019-04-03,17:00:00,118.25,118.62,117.92,118.61,2380548,0
2019-04-03,18:00:00,118.61,119.18,118.61,118.97,2966983,0
2019-04-03,19:00:00,118.97,119.04,118.81,118.95,1368895,0
2019-04-03,20:00:00,118.95,118.99,118.39,118.43,1523322,0
2019-04-03,21:00:00,118.43,118.56,118.23,118.35,1613374,0
2019-04-04,22:00:00,118.35,118.76,118.1,118.73,3186454,0
2019-04-04,16:00:00,118.86,118.99,118.48,118.87,1854907,0
2019-04-04,17:00:00,118.86,118.87,117.52,117.83,3239662,0
2019-04-04,18:00:00,117.84,117.98,117.48,117.72,2095866,0
2019-04-04,19:00:00,117.73,117.96,117.15,117.38,2219947,0
2019-04-04,20:00:00,117.38,117.73,117.26,117.55,1249695,0
2019-04-04,21:00:00,117.55,118.3,117.51,118.29,1313422,0
2019-04-05,22:00:00,118.3,118.35,117.78,118.13,3506288,0
2019-04-05,16:00:00,118.16,118.85,118.14,118.71,2587831,0
2019-04-05,17:00:00,118.71,118.99,118.51,118.64,2098860,0
2019-04-05,18:00:00,118.64,118.8,118.44,118.63,1762968,0
2019-04-05,19:00:00,118.63,118.79,118.47,118.54,945654,0
2019-04-05,20:00:00,118.53,118.62,118.43,118.5,754131,0
2019-04-05,21:00:00,118.49,118.53,118.29,118.43,1040271,0
2019-04-08,22:00:00,118.44,118.76,118.43,118.64,2090732,0
2019-04-08,16:00:00,118.57,118.71,117.41,117.86,2172214,0
2019-04-08,17:00:00,117.85,118.47,117.7,118.22,2079339,0
2019-04-08,18:00:00,118.22,118.5,118.16,118.31,1535985,0
2019-04-08,19:00:00,118.32,118.47,118.17,118.46,1094810,0
2019-04-08,20:00:00,118.46,118.68,118.41,118.54,842788,0
2019-04-08,21:00:00,118.55,118.74,118.45,118.73,976524,0
2019-04-09,22:00:00,118.72,118.78,118.56,118.69,4432161,0
2019-04-09,16:00:00,117.4,118.1,117.35,117.86,2441248,0
2019-04-09,17:00:00,117.87,118.3,117.68,117.84,2431152,0
2019-04-09,18:00:00,117.84,118.07,117.79,117.92,1758241,0
2019-04-09,19:00:00,117.93,118.18,117.93,117.95,1062311,0
2019-04-09,20:00:00,117.94,117.99,117.78,117.88,916801,0
2019-04-09,21:00:00,117.89,117.97,117.76,117.88,1230490,0
2019-04-10,22:00:00,117.87,118.17,117.74,118.05,2770548,0
2019-04-10,16:00:00,118.52,118.85,118.3,118.53,2346410,0
2019-04-10,17:00:00,118.52,118.97,118.42,118.79,2077909,0
2019-04-10,18:00:00,118.78,119.1,118.75,118.97,1404803,0
2019-04-10,19:00:00,118.97,119.02,118.75,118.79,927589,0
2019-04-10,20:00:00,118.78,118.85,118.64,118.81,912895,0
2019-04-10,21:00:00,118.82,118.88,118.39,118.77,1372751,0
2019-04-11,22:00:00,118.77,119.03,118.73,118.95,3629153,0
2019-04-11,16:00:00,119.29,119.59,118.68,118.76,2137225,0
2019-04-11,17:00:00,118.78,119.11,118.74,119.1,1767217,0
2019-04-11,18:00:00,119.11,119.22,118.81,118.85,1437152,0
2019-04-11,19:00:00,118.86,119.1,118.83,119.04,1075764,0
2019-04-11,20:00:00,119.03,119.1,118.89,118.93,934527,0
2019-04-11,21:00:00,118.93,119,118.69,118.82,970584,0
2019-04-12,22:00:00,118.82,119.09,118.72,119.08,2415944,0
2019-04-12,16:00:00,119.39,119.72,119.12,119.37,2438015,0
2019-04-12,17:00:00,119.37,119.66,119.16,119.4,2474608,0
2019-04-12,18:00:00,119.41,119.55,119.14,119.48,1399469,0
2019-04-12,19:00:00,119.48,119.51,119.31,119.39,1672506,0
2019-04-12,20:00:00,119.39,119.42,119.22,119.22,1191076,0
2019-04-12,21:00:00,119.22,119.42,119.18,119.33,1517980,0
2019-04-15,22:00:00,119.33,119.72,119.29,119.7,2766488,0
2019-04-15,16:00:00,119.68,120.32,119.55,120.06,1967416,0
2019-04-15,17:00:00,120.06,120.09,119.32,119.59,1904290,0
2019-04-15,18:00:00,119.59,119.81,119.47,119.66,1418087,0
2019-04-15,19:00:00,119.67,119.69,119.49,119.57,1037510,0
2019-04-15,20:00:00,119.57,119.74,119.52,119.69,1067298,0
2019-04-15,21:00:00,119.68,119.88,119.67,119.85,1605417,0
2019-04-16,22:00:00,119.85,120,119.76,119.79,4287319,0
2019-04-16,16:00:00,120.38,120.39,119.68,120,1991288,0
2019-04-16,17:00:00,119.99,120.28,119.76,119.89,1853185,0
2019-04-16,18:00:00,119.89,120.06,119.75,119.86,1346297,0
2019-04-16,19:00:00,119.86,119.94,119.71,119.92,1079374,0
2019-04-16,20:00:00,119.92,119.96,119.78,119.86,716023,0
2019-04-16,21:00:00,119.85,119.9,119.72,119.75,1098933,0
2019-04-17,22:00:00,119.75,119.8,118.86,119.51,3980027,0
2019-04-17,16:00:00,119.98,120.18,119.54,119.58,2297500,0
2019-04-17,17:00:00,119.58,120.06,119.29,119.8,2615781,0
2019-04-17,18:00:00,119.8,120.08,119.63,119.91,1893744,0
2019-04-17,19:00:00,119.91,120.21,119.65,120.15,1763805,0
2019-04-17,20:00:00,120.15,120.32,119.94,120.09,1584959,0
2019-04-17,21:00:00,120.09,120.19,119.91,120.1,1314509,0
2019-04-18,22:00:00,120.11,120.59,119.96,120.51,4590233,0
2019-04-18,16:00:00,120.93,121.31,120.04,120.3,5789387,0
2019-04-18,17:00:00,120.31,121.04,120.22,120.9,2946479,0
2019-04-18,18:00:00,120.89,121.21,120.75,121.18,2002502,0
2019-04-18,19:00:00,121.18,121.72,121.06,121.6,2966377,0
2019-04-18,20:00:00,121.6,121.8,121.51,121.75,1656606,0
2019-04-18,21:00:00,121.76,122.21,121.72,122.13,2149023,0
2019-04-22,22:00:00,122.13,122.23,121.9,122.09,6287596,0
2019-04-22,16:00:00,121.35,122.12,121.3,122,1967983,0
2019-04-22,17:00:00,122,122.58,122,122.41,2231897,0
2019-04-22,18:00:00,122.41,122.71,122.31,122.51,1680728,0
2019-04-22,19:00:00,122.5,122.53,122.28,122.29,1137010,0
2019-04-22,20:00:00,122.29,122.38,122.08,122.32,1254289,0
2019-04-22,21:00:00,122.32,122.41,122.21,122.31,1000558,0
2019-04-23,22:00:00,122.31,122.48,122.17,122.47,3036318,0
2019-04-23,16:00:00,122.81,123.7,122.54,123.55,2967826,0
2019-04-23,17:00:00,123.55,123.96,123.08,123.15,3524519,0
2019-04-23,18:00:00,123.16,123.59,122.83,123.55,2334748,0
2019-04-23,19:00:00,123.54,123.75,123.48,123.74,1821545,0
2019-04-23,20:00:00,123.74,123.78,123.6,123.65,1469155,0
2019-04-23,21:00:00,123.64,126.96,123.59,124.05,1633311,0
2019-04-24,22:00:00,124.05,124.28,123.89,124.15,5450295,0
2019-04-24,16:00:00,124.49,124.55,123.23,123.56,3938974,0
2019-04-24,17:00:00,123.55,124.13,123.41,123.88,3367940,0
2019-04-24,18:00:00,123.89,123.96,123.58,123.65,2397175,0
2019-04-24,19:00:00,123.65,123.9,123.57,123.74,1741980,0
2019-04-24,20:00:00,123.75,123.88,123.7,123.78,1201464,0
2019-04-24,21:00:00,123.77,123.99,123.71,123.94,1806336,0
2019-04-25,22:00:00,123.94,124.17,123.71,123.72,6956964,0
2019-04-25,16:00:00,128.71,130.02,127.73,128.79,9333448,0
2019-04-25,17:00:00,128.78,128.99,127.49,128.53,7077478,0
2019-04-25,18:00:00,128.52,128.83,128.07,128.32,3516756,0
2019-04-25,19:00:00,128.32,128.47,127.8,127.94,2275990,0
2019-04-25,20:00:00,127.93,128.13,127.74,128.12,1637399,0
2019-04-25,21:00:00,128.13,128.54,128.09,128.47,2367696,0
2019-04-26,22:00:00,128.47,128.47,127.74,127.81,5793490,0
2019-04-26,16:00:00,128.35,129.16,127.74,127.95,4233374,0
2019-04-26,17:00:00,127.96,128.28,127.68,128.1,3069185,0
2019-04-26,18:00:00,128.11,128.69,127.89,128.43,2305919,0
2019-04-26,19:00:00,128.43,128.68,128.31,128.34,1524966,0
2019-04-26,20:00:00,128.33,128.37,128.08,128.12,1351994,0
2019-04-26,21:00:00,128.11,128.54,128,128.39,1449059,0
2019-04-29,22:00:00,128.4,128.54,128.22,128.54,6483251,0
2019-04-29,16:00:00,128.55,128.83,128.09,128.46,2439115,0
2019-04-29,17:00:00,128.47,128.59,128,128.5,2027311,0
2019-04-29,18:00:00,128.5,128.56,128.14,128.18,1573360,0
2019-04-29,19:00:00,128.18,128.55,128.14,128.45,1082706,0
2019-04-29,20:00:00,128.45,128.59,128.36,128.51,1094722,0
2019-04-29,21:00:00,128.52,128.79,128.5,128.62,1521474,0
2019-04-30,22:00:00,128.63,128.76,128.36,128.39,2431361,0
2019-04-30,16:00:00,128.46,129.14,128.06,129.1,2543256,0
2019-04-30,17:00:00,129.1,129.33,128.39,128.51,3321294,0
2019-04-30,18:00:00,128.5,128.68,128.05,128.55,2779925,0
2019-04-30,19:00:00,128.55,129.1,128.54,129.01,1674628,0
2019-04-30,20:00:00,129.02,129.29,128.73,129.22,1616940,0
2019-04-30,21:00:00,129.23,129.25,128.75,128.76,1933044,0
2019-05-01,22:00:00,128.76,129.35,128.69,129.26,3725336,0
2019-05-01,16:00:00,129.18,129.3,128.25,128.52,2969737,0
2019-05-01,17:00:00,128.52,128.65,128.14,128.29,2284392,0
2019-05-01,18:00:00,128.29,128.62,128.23,128.38,1918232,0
2019-05-01,19:00:00,128.38,128.45,127.99,128.19,1864009,0
2019-05-01,20:00:00,128.19,128.4,127.9,128.07,1450069,0
2019-05-01,21:00:00,128.07,128.47,127.35,127.68,3275948,0
2019-05-02,22:00:00,127.67,127.69,126.39,126.56,7520563,0
2019-05-02,16:00:00,126.66,126.68,125.69,125.73,2780041,0
2019-05-02,17:00:00,125.74,126.66,125.73,125.97,2686998,0
2019-05-02,18:00:00,125.97,126.13,124.26,124.46,4005691,0
2019-05-02,19:00:00,124.47,125.14,124.36,124.47,2983531,0
2019-05-02,20:00:00,124.47,125.21,124.22,124.75,2866032,0
2019-05-02,21:00:00,124.74,125.38,124.71,124.98,2618615,0
2019-05-03,22:00:00,124.98,125.31,124.7,124.9,4381498,0
2019-05-03,16:00:00,126.04,126.54,125.93,126.54,2380210,0
2019-05-03,17:00:00,126.54,127.26,126.46,127.17,3235545,0
2019-05-03,18:00:00,127.17,127.44,126.84,127.03,2779150,0
2019-05-03,19:00:00,127.02,127.42,126.95,127.28,2301251,0
2019-05-03,20:00:00,127.29,128.08,127.22,127.94,1677521,0
2019-05-03,21:00:00,127.94,127.96,127.38,127.43,3100736,0
2019-05-06,22:00:00,127.43,127.7,127.25,127.56,3732314,0
2019-05-06,16:00:00,125.07,126.37,124.8,126.11,3212234,0
2019-05-06,17:00:00,126.1,126.75,125.63,126.67,3192325,0
2019-05-06,18:00:00,126.66,126.78,126.35,126.39,2108246,0
2019-05-06,19:00:00,126.39,126.48,126.05,126.13,1639749,0
2019-05-06,20:00:00,126.13,126.5,125.99,126.44,1210372,0
2019-05-06,21:00:00,126.44,127.23,126.34,127.14,2190155,0
2019-05-07,22:00:00,127.14,127.15,126.64,126.83,5961628,0
2019-05-07,16:00:00,125.14,125.86,124.77,124.93,2391674,0
2019-05-07,17:00:00,124.93,124.98,123.94,124.12,3821836,0
2019-05-07,18:00:00,124.11,124.6,123.62,124.19,3925621,0
2019-05-07,19:00:00,124.19,124.66,123.99,124.17,2163519,0
2019-05-07,20:00:00,124.16,124.21,123.36,123.73,3076887,0
2019-05-07,21:00:00,123.72,123.99,123.01,123.6,3408876,0
2019-05-08,22:00:00,123.6,124.36,122.93,124.22,10204854,0
2019-05-08,16:00:00,124.19,124.54,123.46,124.04,2592700,0
2019-05-08,17:00:00,124.04,124.49,123.69,124.27,3335993,0
2019-05-08,18:00:00,124.42,124.87,124,124.23,2966758,0
2019-05-08,19:00:00,124.24,124.9,124.05,124.87,1492635,0
2019-05-08,20:00:00,124.88,124.99,124.62,124.87,1259619,0
2019-05-08,21:00:00,124.88,124.9,124.49,124.71,1249599,0
