Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,84.365,84.593,84.028,84.186,923201,0
2019-04-01,17:00:00,84.196,84.45,84.061,84.246,828087,0
2019-04-01,18:00:00,84.256,84.395,84.113,84.276,600135,0
2019-04-01,19:00:00,84.28,84.336,84.186,84.286,522457,0
2019-04-01,20:00:00,84.296,84.39,84.216,84.276,383275,0
2019-04-01,21:00:00,84.286,84.375,84.266,84.361,506553,0
2019-04-02,22:00:00,84.356,84.643,84.281,84.553,1532440,0
2019-04-02,16:00:00,84.326,84.583,83.969,84.108,389320,0
2019-04-02,17:00:00,84.118,84.395,83.879,84.028,526671,0
2019-04-02,18:00:00,84.028,84.058,83.492,83.721,510051,0
2019-04-02,19:00:00,83.721,83.76,83.532,83.552,443374,0
2019-04-02,20:00:00,83.552,83.771,83.527,83.681,337051,0
2019-04-02,21:00:00,83.691,83.78,83.562,83.621,380348,0
2019-04-03,22:00:00,83.611,83.77,83.567,83.701,1180176,0
2019-04-03,16:00:00,84.226,84.316,83.691,83.721,398521,0
2019-04-03,17:00:00,83.681,84.098,83.582,83.952,433227,0
2019-04-03,18:00:00,83.959,84.147,83.919,84.008,369133,0
2019-04-03,19:00:00,84.013,84.093,83.939,83.949,281193,0
2019-04-03,20:00:00,83.949,84.033,83.666,83.721,308527,0
2019-04-03,21:00:00,83.711,83.839,83.666,83.726,385123,0
2019-04-04,22:00:00,83.721,83.939,83.681,83.8,1275984,0
2019-04-04,16:00:00,83.819,84.147,83.691,84.118,322581,0
2019-04-04,17:00:00,84.127,84.524,83.998,84.415,494540,0
2019-04-04,18:00:00,84.425,84.519,84.147,84.186,299951,0
2019-04-04,19:00:00,84.196,84.266,84.008,84.083,266526,0
2019-04-04,20:00:00,84.083,84.147,83.969,84.058,220988,0
2019-04-04,21:00:00,84.058,84.524,84.018,84.509,405165,0
2019-04-05,22:00:00,84.509,84.703,84.425,84.603,1096080,0
2019-04-05,16:00:00,85.317,85.477,84.613,84.96,911148,0
2019-04-05,17:00:00,84.96,85.09,84.762,84.94,446563,0
2019-04-05,18:00:00,84.95,84.95,84.375,84.553,469711,0
2019-04-05,19:00:00,84.553,84.668,84.524,84.633,316757,0
2019-04-05,20:00:00,84.623,84.703,84.415,84.683,586018,0
