Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,156.8,157,156.04,156.23,756992,0
2019-04-01,17:00:00,156.21,156.53,155.82,156.16,641031,0
2019-04-01,18:00:00,156.16,156.71,156.07,156.44,577400,0
2019-04-01,19:00:00,156.43,156.56,156.13,156.55,351760,0
2019-04-01,20:00:00,156.56,156.6,156.42,156.54,357259,0
2019-04-01,21:00:00,156.54,156.85,156.5,156.77,501088,0
2019-04-02,22:00:00,156.76,156.83,156.52,156.53,1808070,0
2019-04-02,16:00:00,156.93,156.94,156.04,156.07,566240,0
2019-04-02,17:00:00,156.09,156.75,156.02,156.69,568833,0
2019-04-02,18:00:00,156.69,156.71,156.14,156.39,513574,0
2019-04-02,19:00:00,156.4,156.62,156.21,156.56,490256,0
2019-04-02,20:00:00,156.58,156.85,156.53,156.78,221295,0
2019-04-02,21:00:00,156.77,157.21,156.75,157.17,375930,0
2019-04-03,22:00:00,157.18,157.42,157.04,157.05,2622290,0
2019-04-03,16:00:00,157.82,157.92,157.12,157.66,687863,0
2019-04-03,17:00:00,157.65,158.03,157.18,157.93,798905,0
2019-04-03,18:00:00,157.94,158.25,157.88,158.2,450744,0
2019-04-03,19:00:00,158.2,158.37,157.92,158.11,600080,0
2019-04-03,20:00:00,158.11,158.16,157.35,157.4,420824,0
2019-04-03,21:00:00,157.38,157.54,157.28,157.38,381471,0
2019-04-04,22:00:00,157.37,157.79,157.13,157.73,3673391,0
2019-04-04,16:00:00,157.8,157.96,157.27,157.68,443222,0
2019-04-04,17:00:00,157.72,157.72,156.29,156.38,570786,0
2019-04-04,18:00:00,156.37,156.46,155.8,156.14,824180,0
2019-04-04,19:00:00,156.12,156.33,155.99,156.21,412928,0
2019-04-04,20:00:00,156.21,156.52,156.06,156.18,389450,0
2019-04-04,21:00:00,156.17,156.76,156.12,156.7,326307,0
2019-04-05,22:00:00,156.71,156.93,156.39,156.91,1238579,0
2019-04-05,16:00:00,157.27,157.9,157.11,157.37,616238,0
2019-04-05,17:00:00,157.39,157.58,157.13,157.36,366136,0
2019-04-05,18:00:00,157.38,157.45,157.04,157.1,379883,0
2019-04-05,19:00:00,157.09,157.28,157,157.07,287912,0
2019-04-05,20:00:00,157.07,157.13,156.8,156.81,264687,0
2019-04-05,21:00:00,156.8,156.91,156.5,156.74,392643,0
2019-04-08,22:00:00,156.74,157.04,156.71,156.92,1072930,0
2019-04-08,16:00:00,156.82,156.84,155.6,156.24,507004,0
2019-04-08,17:00:00,156.25,156.79,155.86,156.5,666255,0
2019-04-08,18:00:00,156.49,156.83,156.45,156.56,320173,0
2019-04-08,19:00:00,156.56,156.69,156.47,156.68,302088,0
2019-04-08,20:00:00,156.69,157.12,156.69,157.11,316187,0
2019-04-08,21:00:00,157.1,157.12,156.66,156.86,317965,0
2019-04-09,22:00:00,156.85,157.05,156.66,157.02,2435559,0
2019-04-09,16:00:00,155.83,156.96,155.74,156.58,366862,0
2019-04-09,17:00:00,156.59,157.04,156.36,156.78,489344,0
2019-04-09,18:00:00,156.79,157.05,156.65,156.88,326278,0
2019-04-09,19:00:00,156.88,157.26,156.85,157,319239,0
2019-04-09,20:00:00,156.99,157.14,156.82,156.88,249041,0
2019-04-09,21:00:00,156.88,156.94,156.58,156.71,281617,0
2019-04-10,22:00:00,156.69,157.01,156.55,156.76,3348553,0
2019-04-10,16:00:00,157.26,157.52,156.79,157.51,411306,0
2019-04-10,17:00:00,157.5,158.05,157.22,157.66,579573,0
2019-04-10,18:00:00,157.66,157.98,157.53,157.69,366610,0
2019-04-10,19:00:00,157.69,157.8,157.51,157.55,229476,0
2019-04-10,20:00:00,157.56,157.63,157.44,157.55,203699,0
2019-04-10,21:00:00,157.53,157.6,157.22,157.53,303791,0
2019-04-11,22:00:00,157.53,158,157.52,157.83,1004058,0
2019-04-11,16:00:00,158.37,158.56,156.83,156.96,683967,0
2019-04-11,17:00:00,156.95,157.24,156.71,157.23,635975,0
2019-04-11,18:00:00,157.24,157.28,156.73,156.89,385747,0
2019-04-11,19:00:00,156.9,157.4,156.83,157.29,238818,0
2019-04-11,20:00:00,157.29,157.43,157.05,157.07,230574,0
2019-04-11,21:00:00,157.08,157.15,156.9,156.99,266017,0
2019-04-12,22:00:00,157,157.21,156.78,157.13,2589461,0
2019-04-12,16:00:00,157.98,158.4,157.22,157.27,580924,0
2019-04-12,17:00:00,157.27,158.16,157.13,157.99,856705,0
2019-04-12,18:00:00,157.98,158.22,157.74,158.2,342634,0
2019-04-12,19:00:00,158.2,158.24,157.95,158.17,546133,0
2019-04-12,20:00:00,158.18,158.32,158.15,158.22,263639,0
2019-04-12,21:00:00,158.22,158.51,158.2,158.35,299524,0
2019-04-15,22:00:00,158.35,158.89,158.28,158.89,2955059,0
2019-04-15,16:00:00,159.08,159.73,158.9,159.2,657046,0
2019-04-15,17:00:00,159.21,159.25,158.45,158.97,698591,0
2019-04-15,18:00:00,158.98,159.15,158.73,158.79,330422,0
2019-04-15,19:00:00,158.79,158.97,158.65,158.92,251627,0
2019-04-15,20:00:00,158.92,159.2,158.88,159.16,244937,0
2019-04-15,21:00:00,159.16,159.38,159.07,159.38,458951,0
2019-04-16,22:00:00,159.38,159.69,159.29,159.69,4579792,0
2019-04-16,16:00:00,160.29,160.35,159.76,159.94,602452,0
2019-04-16,17:00:00,159.94,160.04,159.42,159.75,556438,0
2019-04-16,18:00:00,159.73,160.09,159.6,159.74,548645,0
2019-04-16,19:00:00,159.72,159.85,159.4,159.56,366038,0
2019-04-16,20:00:00,159.55,159.8,159.53,159.69,385183,0
2019-04-16,21:00:00,159.69,159.74,159.47,159.61,326671,0
2019-04-17,22:00:00,159.62,159.63,158.8,159.48,2334730,0
2019-04-17,16:00:00,160.12,160.32,159.58,159.88,621055,0
2019-04-17,17:00:00,159.86,160.27,159.66,160.01,540010,0
2019-04-17,18:00:00,160.01,160.15,159.7,159.78,444535,0
2019-04-17,19:00:00,159.78,160.02,159.59,159.93,349608,0
2019-04-17,20:00:00,159.92,160.18,159.81,159.81,290669,0
2019-04-17,21:00:00,159.79,159.94,159.61,159.67,405883,0
2019-04-18,22:00:00,159.66,159.89,159.56,159.69,1093425,0
2019-04-18,16:00:00,160.18,160.36,158.99,159.01,934735,0
2019-04-18,17:00:00,159.01,159.18,158.26,158.79,881373,0
2019-04-18,18:00:00,158.77,159.24,158.62,159.13,417650,0
2019-04-18,19:00:00,159.11,159.25,158.96,159.03,357037,0
2019-04-18,20:00:00,159.04,159.14,158.65,158.78,332310,0
2019-04-18,21:00:00,158.78,159.51,158.74,159.45,360091,0
2019-04-22,22:00:00,159.43,159.45,159.03,159.41,3564047,0
2019-04-22,16:00:00,158.46,158.82,158.33,158.66,415131,0
2019-04-22,17:00:00,158.67,159.11,158.32,159.1,696165,0
2019-04-22,18:00:00,159.09,159.57,159.03,159.25,411284,0
2019-04-22,19:00:00,159.24,159.34,159.13,159.16,222943,0
2019-04-22,20:00:00,159.16,159.37,158.99,159.35,235061,0
2019-04-22,21:00:00,159.36,159.53,159.2,159.48,250415,0
2019-04-23,22:00:00,159.48,159.73,159.31,159.65,1748992,0
2019-04-23,16:00:00,160.25,160.27,159.12,160.19,750560,0
2019-04-23,17:00:00,160.19,160.5,160.06,160.19,813330,0
2019-04-23,18:00:00,160.19,160.72,160.06,160.69,685404,0
2019-04-23,19:00:00,160.68,161.01,160.6,160.81,529119,0
2019-04-23,20:00:00,160.81,161.08,160.71,161.01,402988,0
2019-04-23,21:00:00,161.01,161.11,160.81,161.07,542284,0
2019-04-24,22:00:00,161.07,161.13,160.54,160.91,1514684,0
2019-04-24,16:00:00,161,161,159.9,160.59,829454,0
2019-04-24,17:00:00,160.58,160.87,160.4,160.69,889538,0
2019-04-24,18:00:00,160.68,161.28,160.66,161.04,1013029,0
2019-04-24,19:00:00,161.04,161.06,160.52,160.52,397024,0
2019-04-24,20:00:00,160.51,160.96,160.35,160.87,481999,0
2019-04-24,21:00:00,160.86,160.91,160.67,160.74,547202,0
2019-04-25,22:00:00,160.74,161.11,160.6,160.74,1733456,0
2019-04-25,16:00:00,159.77,160.24,157.82,159.74,2430377,0
2019-04-25,17:00:00,159.75,160.47,159.06,160.24,1409616,0
2019-04-25,18:00:00,160.21,160.78,159.39,160.43,891917,0
2019-04-25,19:00:00,160.44,160.58,159.82,159.86,418326,0
2019-04-25,20:00:00,159.87,160.72,159.77,160.53,373325,0
2019-04-25,21:00:00,160.53,160.76,160.44,160.68,592358,0
2019-04-26,22:00:00,160.68,160.85,160.22,160.27,1402839,0
2019-04-26,16:00:00,160.51,160.81,159.65,160.02,534640,0
2019-04-26,17:00:00,160.03,160.99,159.75,160.96,607693,0
2019-04-26,18:00:00,160.96,161.61,160.92,161.41,517264,0
2019-04-26,19:00:00,161.4,161.41,161.13,161.25,311222,0
2019-04-26,20:00:00,161.25,161.6,161.07,161.57,500041,0
2019-04-26,21:00:00,161.56,162.04,161.35,162.01,684094,0
2019-04-29,22:00:00,162.01,162.28,161.66,162.18,3069957,0
2019-04-29,16:00:00,162.46,163.28,162.35,162.97,690066,0
2019-04-29,17:00:00,162.98,163.4,162.84,163.31,522333,0
2019-04-29,18:00:00,163.32,163.36,162.94,162.97,412259,0
2019-04-29,19:00:00,162.97,163.11,162.81,163,336586,0
2019-04-29,20:00:00,162.99,163.31,162.93,163.31,491903,0
2019-04-29,21:00:00,163.31,163.46,163.23,163.4,534008,0
2019-04-30,22:00:00,163.4,163.74,163.36,163.39,4083501,0
2019-04-30,16:00:00,164.21,164.72,163.58,164.09,917709,0
2019-04-30,17:00:00,164.09,164.93,164.08,164.19,808092,0
2019-04-30,18:00:00,164.18,164.22,163.26,164.12,616990,0
2019-04-30,19:00:00,164.13,164.23,163.68,164.06,444539,0
2019-04-30,20:00:00,164.06,164.24,163.86,164.21,301043,0
2019-04-30,21:00:00,164.21,164.23,163.33,163.46,394521,0
2019-05-01,22:00:00,163.46,163.83,163.16,163.67,1734008,0
2019-05-01,16:00:00,164.77,164.97,163.41,163.72,608261,0
2019-05-01,17:00:00,163.67,163.91,163.21,163.44,734541,0
2019-05-01,18:00:00,163.43,163.76,163.42,163.68,406076,0
2019-05-01,19:00:00,163.69,163.74,163.27,163.58,340965,0
2019-05-01,20:00:00,163.56,163.79,163.34,163.6,308612,0
2019-05-01,21:00:00,163.56,164,163.09,163.36,529687,0
