Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,96.542,96.808,96.306,96.541,676430,0
2019-04-01,17:00:00,96.542,96.926,96.365,96.404,913587,0
2019-04-01,18:00:00,96.404,96.561,96.345,96.424,1151558,0
2019-04-01,19:00:00,96.424,96.453,96.321,96.414,855254,0
2019-04-01,20:00:00,96.414,96.562,96.335,96.374,870395,0
2019-04-01,21:00:00,96.374,96.433,96.276,96.296,532081,0
2019-04-02,22:00:00,96.296,96.453,96.138,96.394,2320193,0
2019-04-02,16:00:00,96.335,96.877,96.256,96.384,699920,0
2019-04-02,17:00:00,96.384,96.557,96.226,96.394,719596,0
2019-04-02,18:00:00,96.404,96.463,96.246,96.433,502588,0
2019-04-02,19:00:00,96.433,96.512,96.325,96.415,502566,0
2019-04-02,20:00:00,96.419,96.433,96.246,96.29,432367,0
2019-04-02,21:00:00,96.296,96.311,96.009,96.044,521787,0
2019-04-03,22:00:00,96.039,96.039,95.488,95.528,2069637,0
2019-04-03,16:00:00,95.705,95.852,95.379,95.655,604192,0
2019-04-03,17:00:00,95.605,95.669,95.393,95.6,767550,0
2019-04-03,18:00:00,95.605,95.932,95.585,95.837,554153,0
2019-04-03,19:00:00,95.842,95.97,95.767,95.956,407654,0
2019-04-03,20:00:00,95.961,95.979,95.842,95.897,419585,0
2019-04-03,21:00:00,95.892,95.902,95.6,95.635,531428,0
2019-04-04,22:00:00,95.625,95.822,95.492,95.745,978556,0
2019-04-04,16:00:00,95.832,96.129,95.822,95.989,309117,0
2019-04-04,17:00:00,95.979,96.335,95.922,96.236,480602,0
2019-04-04,18:00:00,96.246,96.266,96.019,96.197,315322,0
2019-04-04,19:00:00,96.197,96.463,96.049,96.453,389182,0
2019-04-04,20:00:00,96.463,96.621,96.433,96.527,375785,0
2019-04-04,21:00:00,96.532,96.655,96.458,96.576,301467,0
2019-04-05,22:00:00,96.581,96.848,96.542,96.68,1335386,0
2019-04-05,16:00:00,96.818,97.557,96.729,97.503,422943,0
2019-04-05,17:00:00,97.508,97.755,97.33,97.715,601378,0
2019-04-05,18:00:00,97.715,97.74,97.518,97.67,506705,0
2019-04-05,19:00:00,97.665,97.685,97.419,97.533,286790,0
2019-04-05,20:00:00,97.533,97.625,97.528,97.586,274969,0
2019-04-05,21:00:00,97.596,97.63,97.242,97.271,333305,0
