Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-04-01,16:00:00,189.61,189.65,187.69,188.14,3512456,0
2019-04-01,17:00:00,188.14,188.47,186.39,187.39,5368143,0
2019-04-01,18:00:00,187.4,188.38,187.4,188.19,2927505,0
2019-04-01,19:00:00,188.19,188.56,187.84,188.54,1688503,0
2019-04-01,20:00:00,188.55,188.76,187.92,188.7,1701487,0
2019-04-01,21:00:00,188.7,189.06,188.46,189.06,1785388,0
2019-04-02,22:00:00,189.07,189.44,188.74,189.22,5794357,0
2019-04-02,16:00:00,189.07,191.04,189.04,189.68,3581985,0
2019-04-02,17:00:00,189.69,190.95,189.51,190.73,2920898,0
2019-04-02,18:00:00,190.73,190.81,190.08,190.54,2003515,0
2019-04-02,19:00:00,190.55,190.98,190.47,190.8,1465126,0
2019-04-02,20:00:00,190.79,191.76,190.62,191.63,2035413,0
2019-04-02,21:00:00,191.63,191.93,191.28,191.92,1917667,0
2019-04-03,22:00:00,191.92,192.4,191.85,191.97,4751340,0
2019-04-03,16:00:00,191.21,193.12,191.11,192.79,3688121,0
2019-04-03,17:00:00,192.77,194,192.43,193.94,3738002,0
2019-04-03,18:00:00,193.95,194.43,193.71,194.22,2629438,0
2019-04-03,19:00:00,194.22,194.38,193.49,193.51,1467888,0
2019-04-03,20:00:00,193.5,193.81,192.68,192.88,1772006,0
2019-04-03,21:00:00,192.87,193.41,192.59,192.83,1619698,0
2019-04-04,22:00:00,192.82,193.39,192.3,193.28,2894231,0
2019-04-04,16:00:00,192.73,194.12,192.7,193.87,2477106,0
2019-04-04,17:00:00,193.88,194.1,192.74,193.77,3001427,0
2019-04-04,18:00:00,193.77,194.3,193.17,193.69,2281660,0
2019-04-04,19:00:00,193.68,193.9,193.15,193.49,1541502,0
2019-04-04,20:00:00,193.5,193.66,193.28,193.43,1105971,0
2019-04-04,21:00:00,193.43,194.02,193.29,193.82,1686102,0
2019-04-05,22:00:00,193.82,193.9,191.1,193.65,2547352,0
2019-04-05,16:00:00,194.38,195.01,193.86,194.54,3501662,0
2019-04-05,17:00:00,194.54,194.74,194,194.34,2604880,0
2019-04-05,18:00:00,194.36,194.5,194.07,194.42,1740524,0
2019-04-05,19:00:00,194.43,194.84,194.29,194.46,1610428,0
2019-04-05,20:00:00,194.47,194.62,194.36,194.62,980180,0
2019-04-05,21:00:00,194.62,194.87,194.53,194.65,1475485,0
2019-04-08,22:00:00,194.64,194.98,194.58,194.88,2499648,0
2019-04-08,16:00:00,194.35,195.81,194.27,195.69,3077950,0
2019-04-08,17:00:00,195.69,196.65,195.1,196.6,3575621,0
2019-04-08,18:00:00,196.6,197.39,196.57,197.07,4081418,0
2019-04-08,19:00:00,197.08,197.19,196.51,197.07,2316172,0
2019-04-08,20:00:00,197.08,197.67,196.93,197.66,1655911,0
2019-04-08,21:00:00,197.67,197.85,197.45,197.78,1839759,0
2019-04-09,22:00:00,197.78,198.12,197.7,197.99,5530106,0
2019-04-09,16:00:00,198.19,199.82,197.57,199.53,6151190,0
2019-04-09,17:00:00,199.54,200.71,199.34,200.29,6530460,0
2019-04-09,18:00:00,200.29,200.56,199.58,199.82,2733422,0
2019-04-09,19:00:00,199.8,200.14,199.48,199.51,1883768,0
2019-04-09,20:00:00,199.51,199.53,197.41,197.89,4513210,0
2019-04-09,21:00:00,197.88,197.92,197.2,197.52,3369051,0
2019-04-10,22:00:00,197.52,197.89,197.13,197.39,3914697,0
2019-04-10,16:00:00,196.58,197.86,196.28,196.54,4057436,0
2019-04-10,17:00:00,196.53,197.6,196.08,197.3,3622257,0
2019-04-10,18:00:00,197.3,197.58,197.1,197.24,2113339,0
2019-04-10,19:00:00,197.25,197.62,197.04,197.47,1230202,0
2019-04-10,20:00:00,197.47,197.89,197.17,197.88,1207010,0
2019-04-10,21:00:00,197.87,197.89,197.22,197.58,1824410,0
2019-04-11,22:00:00,197.58,198.61,197.48,198.49,4584365,0
2019-04-11,16:00:00,198.72,198.87,197.65,198.42,3357199,0
2019-04-11,17:00:00,198.42,198.79,197.92,198.35,2608498,0
2019-04-11,18:00:00,198.36,198.49,197.51,197.96,2024939,0
2019-04-11,19:00:00,197.95,198.28,197.82,198.09,1227736,0
2019-04-11,20:00:00,198.1,198.17,197.03,197.15,1791407,0
2019-04-11,21:00:00,197.15,197.26,196.65,197.08,1879155,0
2019-04-12,22:00:00,197.08,197.22,196.34,196.84,3039730,0
2019-04-12,16:00:00,197.1,198.03,196.92,197.71,3269659,0
2019-04-12,17:00:00,197.72,197.78,194.6,194.91,6222029,0
2019-04-12,18:00:00,194.92,195.6,194.14,195.59,3519574,0
2019-04-12,19:00:00,195.58,195.87,195.41,195.7,1938098,0
2019-04-12,20:00:00,195.7,196.36,195.58,196.23,1887513,0
2019-04-12,21:00:00,196.23,197.04,196.19,196.54,2474796,0
2019-04-15,22:00:00,196.56,196.95,196.32,196.77,4845130,0
2019-04-15,16:00:00,196.48,197.74,196.41,196.94,2771391,0
2019-04-15,17:00:00,196.94,197.04,195.91,196.51,2504329,0
2019-04-15,18:00:00,196.5,197.28,196.4,196.52,1852676,0
2019-04-15,19:00:00,196.5,196.75,196.4,196.62,1177980,0
2019-04-15,20:00:00,196.61,196.91,196.59,196.76,985394,0
2019-04-15,21:00:00,196.76,197.06,196.71,197.01,1237769,0
2019-04-16,22:00:00,197.01,197.23,196.8,197.13,3880083,0
2019-04-16,16:00:00,197.35,197.89,196.91,197.76,2595814,0
2019-04-16,17:00:00,197.76,199.24,197.53,198.52,5134330,0
2019-04-16,18:00:00,198.54,198.6,197.67,197.81,2361635,0
2019-04-16,19:00:00,197.8,197.98,197.48,197.86,1422581,0
2019-04-16,20:00:00,197.85,197.93,197.25,197.61,1534989,0
2019-04-16,21:00:00,197.61,197.74,196.46,197.65,2570582,0
2019-04-17,22:00:00,197.63,198.4,196.67,197.15,6134406,0
2019-04-17,16:00:00,197.43,199.17,196.51,197.87,5426457,0
2019-04-17,17:00:00,197.85,199.45,197.52,199.24,3862865,0
2019-04-17,18:00:00,199.25,199.87,199.07,199.75,2457607,0
2019-04-17,19:00:00,199.75,200.33,199.39,200.32,2387369,0
2019-04-17,20:00:00,200.33,201.13,200.29,200.86,2703281,0
2019-04-17,21:00:00,200.87,200.93,200.12,200.7,2828238,0
